Geneid	Chr	Start	End	Strand	Length	sample1	sample2	sample3	sample4
YMR178W	XIII	618479	619303	+	825	74	73	118	139
YML109W	XIII	51640	54468	+	2829	26	27	50	52
YML015C	XIII	241989	243029	-	1041	33	34	67	76
YMR197C	XIII	658545	659198	-	654	93	75	150	167
YML014W	XIII	243225	244064	+	840	57	47	93	88
YML106W	XIII	56773	57453	+	681	305	290	350	342
YML025C	XIII;XIII	224406;225339	225239;225365	-;-	861	51	49	75	93
tS(AGA)M	XIII	259158	259239	-	82	0	0	0	0
YMR172C-A	XIII	607828	608211	-	384	1	0	2	3
YMR193W	XIII	650036	650812	+	777	17	12	35	42
YML052W	XIII	170402	171310	+	909	139	120	222	222
YML079W	XIII	110247	110852	+	606	51	39	81	92
YML101C-A	XIII	69409	69726	-	318	0	0	0	0
YML047C	XIII	180017	181075	-	1059	0	0	1	0
YMR174C	XIII	610159	610365	-	207	17	6	23	32
YMR218C	XIII	703579	706887	-	3309	44	36	69	73
YMR315W	XIII	902800	903849	+	1050	230	231	313	325
YMR001C	XIII	269019	271136	-	2118	47	42	56	64
tV(AAC)M1	XIII	372445	372518	-	74	0	0	0	0
tE(UUC)M	XIII	290801	290872	+	72	0	0	0	0
YML121W	XIII	26930	27862	+	933	40	43	61	74
YMR085W	XIII	437491	438789	+	1299	37	36	64	70
YMR105W-A	XIII	478064	478258	+	195	2	4	3	5
YMR122C	XIII	510701	511075	-	375	9	3	59	55
snR78	XIII	297278	297364	+	87	0	0	0	0
YMR217W	XIII	701790	703367	+	1578	362	331	439	522
tA(AGC)M2	XIII	768369	768441	-	73	0	0	0	0
YMR298W	XIII	863819	864271	+	453	73	46	138	164
YMR057C	XIII	388359	388730	-	372	3	2	3	2
YML042W	XIII	192788	194800	+	2013	19	19	45	42
YMR320W	XIII	916746	917051	+	306	6	1	11	16
YMR287C	XIII	842436	845345	-	2910	29	24	35	44
YMR289W	XIII	848685	849809	+	1125	40	54	60	68
YML048W	XIII	178426	179637	+	1212	263	256	456	526
YMR250W	XIII	770801	772558	+	1758	175	168	127	138
YMR230W-A	XIII	733268	733456	+	189	0	0	1	1
YMR124W	XIII	514456	517287	+	2832	122	117	217	252
YMR311C	XIII	896914	897603	-	690	195	189	339	356
snR77	XIII	297506	297593	+	88	0	2	2	1
YMR322C	XIII	918366	919079	-	714	0	0	0	0
YML119W	XIII	30611	31684	+	1074	47	32	59	66
YML043C	XIII	190244	191767	-	1524	0	3	8	9
YML046W	XIII	181474	183363	+	1890	27	15	43	39
YML004C	XIII	261705	262685	-	981	132	130	266	302
YMR071C	XIII	410762	411265	-	504	104	99	252	237
YMR229C	XIII	725934	731123	-	5190	133	108	130	140
YMR063W	XIII	397077	397796	+	720	7	9	15	8
YMR301C	XIII	867555	869627	-	2073	55	57	113	117
YMR276W	XIII	818827	819948	+	1122	547	479	775	905
YMR002W	XIII	272193	272663	+	471	210	204	292	339
YML081C-A	XIII	103983	104162	-	180	36	35	80	94
YML019W	XIII	233457	234455	+	999	50	61	81	81
YMR176W	XIII	611740	615975	+	4236	36	32	70	62
YMR158W-B	XIII	574471	574791	+	321	0	0	0	0
YML108W	XIII	54793	55110	+	318	11	7	15	17
YMR198W	XIII	659745	661529	+	1785	26	22	72	51
YML094W	XIII;XIII	82275;82374	82290;82849	+;+	492	16	11	23	32
YMR006C	XIII	277561	279681	-	2121	167	150	82	99
YML003W	XIII	263483	264355	+	873	3	4	4	9
YML057C-A	XIII	160023	160412	-	390	0	0	0	0
YML009C-A	XIII	250675	251001	-	327	4	4	9	7
tQ(CUG)M	XIII	808246	808317	-	72	0	0	0	0
YML093W	XIII	83090	85789	+	2700	84	67	73	95
YMR116C	XIII;XIII	499456;500152	499878;500688	-;-	960	2802	2628	3500	3797
YMR196W	XIII	655076	658342	+	3267	197	192	337	397
YML053C	XIII	169116	169754	-	639	34	44	74	92
YMR151W	XIII	562506	562943	+	438	1	0	4	2
YML009C	XIII	251304	251516	-	213	30	36	70	73
YMR070W	XIII	409154	410626	+	1473	94	71	184	240
YMR219W	XIII	707133	712109	+	4977	80	85	139	175
YML037C	XIII	204386	205408	-	1023	3	4	7	13
YMR280C	XIII	827028	831329	-	4302	45	32	160	130
YMR170C	XIII	601562	603082	-	1521	27	25	38	44
YMR123W	XIII	513593	513961	+	369	55	49	95	69
YML012C-A	XIII	245537	245914	-	378	0	0	3	1
YMR019W	XIII	312156	315005	+	2850	60	42	60	69
YMR206W	XIII	675896	676837	+	942	34	19	71	66
YMR165C	XIII	590040	592628	-	2589	70	64	131	124
YMR010W	XIII	285100	286317	+	1218	64	61	101	117
YMR184W	XIII	628189	628785	+	597	28	16	59	52
YML126C	XIII	19060	20535	-	1476	274	218	348	361
YMR244W	XIII	757250	758317	+	1068	5	3	15	19
YMR279C	XIII	824729	826351	-	1623	15	28	28	21
YMR316C-B	XIII	907321	907629	-	309	0	1	5	0
YMR107W	XIII	483014	483361	+	348	8	4	9	14
YML054C-A	XIII	167623	167781	-	159	3	2	9	2
YMR043W	XIII	353871	354731	+	861	187	177	187	208
tA(AGC)M1	XIII	321147	321219	-	73	0	0	0	0
YMR270C	XIII	805326	806423	-	1098	31	30	74	83
YMR175W	XIII	611016	611255	+	240	1	1	4	5
YML009W-B	XIII	250435	250911	+	477	0	0	0	0
YMR035W	XIII	341142	341675	+	534	32	27	53	73
YMR108W	XIII	484084	486147	+	2064	348	334	451	583
YML002W	XIII	264541	266754	+	2214	47	25	63	74
YML111W	XIII	46942	49704	+	2763	67	66	119	131
YMR278W	XIII	822763	824631	+	1869	74	63	112	124
YMR185W	XIII	629025	631970	+	2946	7	15	29	33
YMR304C-A	XIII	878780	879130	-	351	20	7	24	38
YML084W	XIII	99489	99797	+	309	0	0	0	0
YMR258C	XIII	782620	784281	-	1662	79	72	88	121
YMR023C	XIII	319437	321017	-	1581	23	20	39	49
YMR291W	XIII	852630	854390	+	1761	193	173	232	244
YMR041C	XIII	350966	351973	-	1008	21	31	62	66
YMR029C	XIII	328660	330231	-	1572	56	59	122	123
YMR092C	XIII	451632	453479	-	1848	174	155	274	303
YMR138W	XIII	545155	545730	+	576	18	14	27	38
YMR122W-A	XIII	511315	511569	+	255	1295	1089	1189	1346
YMR053C	XIII	380346	382898	-	2553	35	41	67	70
YMR220W	XIII	712316	713671	+	1356	90	81	103	120
YMR087W	XIII	442527	443381	+	855	26	21	51	57
YML031W	XIII	214189	216156	+	1968	133	109	192	207
YML118W	XIII	32334	33851	+	1518	14	8	34	41
YML120C	XIII	28266	29807	-	1542	137	139	200	214
YMR078C	XIII	422503	424728	-	2226	22	26	58	52
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	0	0	0	0
YMR042W	XIII	352603	353136	+	534	26	28	73	92
YMR251W	XIII	772915	774015	+	1101	24	26	34	31
YMR223W	XIII	716715	718130	+	1416	22	19	26	23
YML007C-A	XIII	253162	253272	-	111	0	2	3	5
YMR256C	XIII	778945	779127	-	183	29	22	61	95
YMR214W	XIII	695350	696483	+	1134	91	86	141	162
tP(UGG)M	XIII;XIII	196068;196135	196103;196170	-;-	72	0	0	0	0
YMR055C	XIII	386101	387021	-	921	9	12	26	31
YML117W	XIII	34243	37647	+	3405	220	231	370	406
YMR271C	XIII	806865	807548	-	684	15	15	31	46
snR24	XIII	499984	500072	-	89	4	1	1	3
YMR226C	XIII	721593	722396	-	804	233	210	375	415
YML110C	XIII	50031	50954	-	924	132	124	196	235
YML047W-A	XIII	179893	180258	+	366	0	0	0	0
YML007W	XIII	253848	255800	+	1953	147	137	318	307
YMR190C	XIII	640915	645258	-	4344	53	43	96	85
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	51	42	42	74
YMR264W	XIII	795805	796416	+	612	91	88	210	229
YMR037C	XIII	344403	346517	-	2115	92	81	144	147
YML024W	XIII;XIII	225889;226290	225891;226697	+;+	411	751	701	1039	1228
YML083C	XIII	99794	101050	-	1257	5	9	14	21
YMR182W-A	XIII	625811	625897	+	87	0	2	1	1
YMR030W	XIII	330793	331923	+	1131	16	16	55	58
YMR187C	XIII	634689	635984	-	1296	10	19	14	21
YMR238W	XIII	746353	747729	+	1377	231	256	381	406
YML061C	XIII	148953	151532	-	2580	29	38	60	73
YMR130W	XIII	532119	533027	+	909	34	27	41	59
YMR005W	XIII	276045	277211	+	1167	43	38	69	84
YMR054W	XIII	383303	385975	+	2673	196	202	314	377
YMR209C	XIII	685911	687284	-	1374	31	28	60	61
YML102W	XIII	68294	69700	+	1407	48	54	94	107
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	108	107	210	221
YMR252C	XIII	775315	775719	-	405	24	27	69	66
YMR164C	XIII	587274	589550	-	2277	34	34	58	71
YMR074C	XIII	413036	413473	-	438	72	73	152	158
YML065W	XIII	142210	144954	+	2745	49	43	68	68
YMR243C	XIII	754838	756166	-	1329	183	165	340	353
snR85	XIII	67768	67938	-	171	1	4	3	2
YMR145C	XIII	554793	556475	-	1683	327	285	372	366
YML071C	XIII	129749	131572	-	1824	46	49	131	136
YMR015C	XIII	300869	302485	-	1617	58	51	36	44
YML070W	XIII	133475	135229	+	1755	178	177	291	334
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	78	74	136	168
YMR325W	XIII	922641	923015	+	375	0	0	0	0
YMR141W-A	XIII	550911	551135	+	225	1	1	4	3
YML072C	XIII	124730	129367	-	4638	292	244	497	502
YML105C	XIII	57866	58687	-	822	79	69	123	108
YMR119W-A	XIII	506996	507370	+	375	5	6	7	4
YMR069W	XIII	407709	408566	+	858	6	2	3	4
YMR293C	XIII	855399	856793	-	1395	19	8	38	29
YML124C	XIII;XIII	22048;23659	23360;23683	-;-	1338	264	238	467	469
YMR090W	XIII	449245	449928	+	684	34	37	63	91
YML029W	XIII	217362	219878	+	2517	78	73	112	141
YMR171C	XIII	603868	605520	-	1653	71	82	143	144
YMR102C	XIII	469848	472352	-	2505	96	90	122	173
YMR188C	XIII	636291	637004	-	714	41	19	41	40
YMR269W	XIII	804456	805091	+	636	15	15	37	41
YMR128W	XIII	523696	527499	+	3804	52	61	43	64
YMR039C	XIII	348644	349522	-	879	188	164	331	344
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	494	446	738	729
YMR267W	XIII	801772	802704	+	933	53	38	65	55
YMR247C	XIII	763351	768039	-	4689	34	37	67	80
YMR152W	XIII	563096	564193	+	1098	84	70	132	132
YMR251W-A	XIII	774752	774931	+	180	498	451	469	533
YMR146C	XIII	557481	558524	-	1044	546	530	730	858
YMR228W	XIII	724626	725651	+	1026	8	12	17	21
YMR032W	XIII	335298	337307	+	2010	56	59	74	64
YMR013C-A	XIII	296471	296620	-	150	0	0	0	0
YMR001C-A	XIII	271347	271577	-	231	0	0	0	0
YMR031W-A	XIII	334709	335035	+	327	0	1	3	1
YMR153W	XIII	564435	565862	+	1428	25	25	51	52
YMR056C	XIII	387315	388244	-	930	20	16	117	129
YMR282C	XIII	833356	835098	-	1743	13	23	42	41
YMR234W	XIII	740266	741312	+	1047	31	31	36	49
YMR323W	XIII	920088	921401	+	1314	1	0	0	4
YMR062C	XIII	395054	396379	-	1326	124	85	155	185
YMR247W-A	XIII	769283	769426	+	144	8	5	2	3
YMR038C	XIII	347511	348260	-	750	183	165	263	266
YMR049C	XIII	368094	370517	-	2424	38	49	53	52
YMR272W-B	XIII	811089	811196	+	108	1	1	5	4
YMR147W	XIII	559199	559870	+	672	4	4	15	25
YML067C	XIII;XIII	139063;140184	140090;140214	-;-	1059	82	86	170	183
tK(CUU)M	XIII	480621	480693	-	73	0	0	0	0
tR(UCU)M1	XIII	747892	747963	-	72	0	0	0	1
YML107C	XIII	55265	56269	-	1005	16	22	26	29
snR54	XIII	163535	163620	-	86	0	1	0	0
YMR231W	XIII	733545	736634	+	3090	41	36	88	87
YMR081C	XIII	430079	431095	-	1017	53	70	42	41
YML051W	XIII	171594	172901	+	1308	88	67	143	147
YMR314W	XIII	901709	902413	+	705	277	269	458	498
YMR113W	XIII	494999	496282	+	1284	35	41	63	89
YML031C-A	XIII	214086	214421	-	336	0	0	0	0
YMR263W	XIII	794919	795524	+	606	56	45	69	87
YML034W	XIII;XIII	209525;211571	211444;212155	+;+	2505	46	55	132	137
YMR131C	XIII	533163	534698	-	1536	142	117	150	160
YMR310C	XIII	895716	896669	-	954	21	20	22	28
YMR034C	XIII	339418	340722	-	1305	17	11	35	33
YML103C	XIII	62582	67549	-	4968	71	79	137	122
YMR306W	XIII	881159	886516	+	5358	18	13	15	33
YMR169C	XIII	599352	600872	-	1521	11	13	27	28
YMR186W	XIII	632355	634472	+	2118	1197	986	1718	1927
YML059C	XIII	153219	158258	-	5040	55	57	111	119
YML086C	XIII	95791	97371	-	1581	146	131	256	239
YMR013C	XIII	295179	296738	-	1560	10	12	25	29
YMR127C	XIII	522329	523345	-	1017	13	10	17	24
YMR153C-A	XIII	565574	565909	-	336	0	1	4	8
YMR212C	XIII	690695	693043	-	2349	71	72	103	116
YMR296C	XIII	859215	860891	-	1677	320	316	419	439
YMR101C	XIII	468445	469476	-	1032	1	0	0	0
YMR166C	XIII	593367	594473	-	1107	28	29	51	43
YMR061W	XIII	392755	394788	+	2034	41	47	83	115
YMR288W	XIII	845571	848486	+	2916	34	30	40	51
YMR265C	XIII	796540	797925	-	1386	42	36	145	151
YML116W	XIII	38196	39824	+	1629	58	62	56	57
YML130C	XIII	11483	13174	-	1692	97	72	123	144
YMR273C	XIII	811233	813980	-	2748	91	77	137	149
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	17	10	46	47
YMR137C	XIII	542978	544963	-	1986	17	15	35	22
YMR013W-A	XIII	298311	298391	+	81	0	0	0	0
YML076C	XIII	112513	115347	-	2835	37	38	87	88
YMR082C	XIII	431769	432125	-	357	0	0	3	1
tR(UCU)M2	XIII	131825	131896	-	72	0	0	0	0
YMR022W	XIII	318680	319177	+	498	68	70	146	171
YML062C	XIII	147505	148683	-	1179	48	44	88	105
YMR086C-A	XIII	442026	442364	-	339	4	3	13	6
YML035C	XIII	206428	208860	-	2433	114	91	116	109
YMR173W	XIII	608689	609981	+	1293	47	40	19	27
YMR194C-A	XIII	652912	653136	-	225	1	3	9	1
YMR093W	XIII	454015	455556	+	1542	35	39	22	21
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	7	17	29	36
YMR307W	XIII	887003	888682	+	1680	1185	1115	1362	1466
YML116W-A	XIII	37472	37774	+	303	12	16	42	40
YMR021C	XIII	317165	318418	-	1254	18	20	41	44
YMR135C	XIII	538689	540056	-	1368	154	176	279	321
YMR121C	XIII	509734	510348	-	615	64	58	123	126
YMR129W	XIII	527804	531817	+	4014	80	62	97	128
YML066C	XIII	140424	141533	-	1110	7	14	34	37
YMR045C	XIII	357359	362627	-	5269	18	11	7	4
YMR050C	XIII	373057	378325	-	5269	0	0	0	0
YML045W	XIII	184461	189729	+	5269	0	0	0	0
YML040W	XIII	196628	197950	+	1323	0	0	0	0
YML045W-A	XIII	184461	185783	+	1323	0	0	0	0
YMR046C	XIII	361305	362627	-	1323	0	0	0	0
YMR051C	XIII	377003	378325	-	1323	0	0	0	0
YML039W	XIII	196628	201896	+	5269	1	0	0	1
YBR225W	II	670627	673329	+	2703	28	28	67	80
YBR182C-A	II	595361	595555	-	195	1	0	0	2
YBL055C	II	115573	116829	-	1257	74	67	97	107
YBR293W	II	787006	788430	+	1425	31	33	75	51
YBR223W-A	II	668721	668840	+	120	0	0	0	0
YBR115C	II	469748	473926	-	4179	187	159	180	186
YBR031W	II	300166	301254	+	1089	971	900	1145	1278
YBL108C-A	II	7605	7733	-	129	0	0	0	0
YBR116C	II	474199	474726	-	528	0	0	0	0
YBR241C	II	702589	704055	-	1467	60	56	192	211
YBR182C	II	593506	594864	-	1359	9	4	18	13
YBR134W	II	504243	504644	+	402	0	0	1	2
YBL037W	II	147209	150286	+	3078	56	56	72	94
YBR019C	II	276253	278352	-	2100	13	12	21	18
YBR022W	II	283738	284271	+	534	24	15	32	32
YBR121C-A	II	482326	482484	-	159	0	0	0	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	17	23	49	41
YBL022C	II	177874	181275	-	3402	187	167	231	278
snR161	II	307185	307345	-	161	3	0	0	1
YBR243C	II	705447	706793	-	1347	53	61	88	119
YBR234C	II	685438	686592	-	1155	217	210	357	366
YBR179C	II	586547	589114	-	2568	42	36	77	80
YBR247C	II	713004	714455	-	1452	23	27	11	21
YBR124W	II	486507	486866	+	360	0	0	0	0
YBL086C	II	61202	62602	-	1401	83	66	181	205
YBL065W	II	99963	100307	+	345	0	0	1	1
YBR227C	II	673572	675134	-	1563	54	40	98	106
YBR218C	II	658707	662249	-	3543	495	405	465	490
YBR244W	II	707528	708016	+	489	40	40	8	19
YBR160W	II	560078	560974	+	897	67	48	130	144
YBL080C	II	73070	74695	-	1626	31	29	56	41
YBR083W	II	409169	410629	+	1461	48	46	89	93
YBR294W	II	789235	791814	+	2580	32	48	54	46
tI(AAU)B	II	197494	197567	+	74	0	0	0	0
YBR091C	II	427155	427484	-	330	20	12	21	35
YBR284W	II	771239	773632	+	2394	15	15	23	22
YBR158W	II	556549	558198	+	1650	130	124	152	178
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	14	11	40	36
YBL071C	II	90223	90531	-	309	3	4	9	13
YBR126W-B	II	490927	491070	+	144	11	8	17	12
YBR229C	II	676357	679221	-	2865	94	84	146	169
YBR042C	II	320416	321609	-	1194	39	39	76	67
YBR150C	II	541209	544493	-	3285	45	44	87	109
YBR298C	II	802631	804475	-	1845	123	113	239	217
YBR143C	II	530869	532182	-	1314	265	247	341	341
YBR014C	II	266725	267336	-	612	33	30	123	103
tS(AGA)B	II	227075	227156	+	82	0	0	0	0
YBR259W	II	730387	732453	+	2067	10	10	30	37
YBR060C	II	360652	362514	-	1863	36	30	60	45
YBR180W	II	589741	591459	+	1719	4	3	9	2
YBL034C	II	153848	158389	-	4542	20	18	35	39
YBR212W	II	647886	649904	+	2019	216	193	452	520
YBR071W	II	380411	381046	+	636	58	46	117	114
YBL074C	II	86722	87789	-	1068	4	4	12	5
YBL107C	II	9961	10551	-	591	33	40	46	70
YBR097W	II	436951	441315	+	4365	29	27	45	51
YBR136W	II	505668	512774	+	7107	23	35	59	63
YBR039W	II	315575	316510	+	936	161	153	301	310
YBL089W	II	49574	50953	+	1380	40	31	62	58
YBL067C	II	93639	95882	-	2244	68	61	121	132
YBR270C	II	742761	744398	-	1638	15	14	28	30
YBR087W	II	423765	424829	+	1065	32	28	61	75
YBR121C	II	481364	483367	-	2004	441	414	597	649
YBR026C	II	292877	294019	-	1143	78	66	137	130
YBR197C	II	615203	615856	-	654	25	27	38	50
YBR027C	II	294024	294356	-	333	0	4	4	0
YBR177C	II	584807	586162	-	1356	121	97	214	230
YBR176W	II	583720	584658	+	939	30	19	49	42
YBR230W-A	II	680362	680562	+	201	36	31	134	161
YBR090C	II;II	426333;426874	426516;427058	-;-	369	2	2	3	4
YBL071C-B	II	89458	89556	-	99	0	0	0	1
YBR064W	II	367763	368191	+	429	0	0	0	1
YBR044C	II	324341	326059	-	1719	43	56	82	74
YBL068W	II	92414	93394	+	981	47	36	54	57
YBR216C	II	655576	657600	-	2025	41	32	53	55
YBR271W	II	744852	746111	+	1260	23	19	32	24
YBR084W	II	411054	413981	+	2928	171	148	289	307
YBR065C	II	368584	369678	-	1095	8	10	13	18
YBR245C	II	708150	711539	-	3390	78	76	125	166
YBR085W	II	415983	416906	+	924	18	24	16	24
YBR059C	II	356861	360187	-	3327	225	195	377	444
YBR068C	II	373861	375690	-	1830	508	473	435	508
YBR285W	II	773922	774356	+	435	7	10	13	9
YBR041W	II	318266	320275	+	2010	92	96	138	178
YBR252W	II	722611	723054	+	444	55	62	70	95
YBL082C	II	69751	71127	-	1377	68	54	108	103
YBL002W	II	236492	236887	+	396	179	167	426	465
YBL098W	II	39145	40527	+	1383	10	20	31	44
YBR117C	II	474392	476437	-	2046	11	10	15	27
YBR214W	II	651415	652998	+	1584	298	270	469	480
YBR169C	II	573915	575996	-	2082	90	77	121	152
YBR207W	II	635146	636543	+	1398	88	93	258	246
YBR155W	II	549771	550928	+	1158	31	21	58	64
YBL106C	II	10847	13879	-	3033	35	17	46	56
YBR237W	II	691969	694518	+	2550	34	37	82	91
YBR193C	II	609082	609753	-	672	23	24	79	68
YBR149W	II	539987	541021	+	1035	369	346	512	528
YBR013C	II	265492	265881	-	390	5	5	9	13
YBL063W	II	101886	105221	+	3336	26	21	44	50
YBL029C-A	II	164488	164772	-	285	26	22	53	38
YBR147W	II	536575	537465	+	891	29	17	36	31
YBR246W	II	711591	712754	+	1164	58	65	109	115
YBR002C	II	241708	242568	-	861	48	36	50	64
YBR023C	II	284428	287925	-	3498	121	123	274	275
YBL088C	II	51019	59382	-	8364	42	53	81	100
YBL064C	II	100371	101156	-	786	107	103	160	201
YBL007C	II	212632	216366	-	3735	336	319	535	530
tL(UAA)B2	II	347603	347686	+	84	0	0	0	0
YBL093C	II	44256	44918	-	663	78	73	146	142
YBL091C	II	47363	48628	-	1266	360	312	540	548
YBR142W	II	528317	530638	+	2322	38	26	31	31
YBR047W	II	331833	332360	+	528	5	4	9	11
YBR238C	II	695107	697302	-	2196	35	30	16	23
YBR067C	II	372103	372735	-	633	554	484	164	159
YBR010W	II	256331	256741	+	411	260	250	747	787
YBL054W	II	117589	119166	+	1578	19	31	14	8
YBR209W	II	642583	642900	+	318	2	2	7	8
YBL060W	II	107932	109995	+	2064	19	24	66	56
YBR089W	II	425183	425782	+	600	0	0	0	0
YBR025C	II	290681	291865	-	1185	565	525	619	714
YBR040W	II	316968	317864	+	897	0	0	0	0
YBR230C	II;II	679549;680040	679942;680050	-;-	405	113	122	296	281
YBL027W	II;II	168423;168809	168424;169376	+;+	570	1414	1280	1874	2012
YBL100C	II	36989	37303	-	315	1	1	9	8
YBR261C	II	734832	735530	-	699	129	113	132	145
YBR034C	II	304930	305976	-	1047	112	97	96	87
YBR101C	II	443821	444693	-	873	59	58	113	121
YBL010C	II	206107	206949	-	843	14	17	33	44
YBR053C	II	339675	340751	-	1077	87	70	149	153
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	15	12	19	32
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	22	14	59	53
YBL042C	II	138341	140260	-	1920	55	66	108	141
YBL039C	II	143989	145728	-	1740	55	63	50	67
YBR217W	II	657832	658392	+	561	12	10	18	18
YBR200W-A	II	622983	623147	+	165	0	0	0	1
YBL003C	II	235394	235792	-	399	317	270	849	1000
YBR069C	II	376574	378433	-	1860	191	157	149	176
YBR056W-A	II	351255	351455	+	201	1	0	3	2
YBR009C	II	255373	255684	-	312	350	346	857	892
YBL038W	II	146187	146885	+	699	36	43	76	72
YBR056C-B	II	351293	351451	-	159	0	0	0	0
YBR081C	II	401253	405251	-	3999	48	50	99	116
YBR007C	II	248806	251016	-	2211	31	37	78	98
YBR146W	II	535260	536096	+	837	73	64	91	86
YBR171W	II	578364	578984	+	621	31	41	94	103
YBL028C	II	167518	167838	-	321	12	7	20	11
YBR135W	II	504854	505306	+	453	50	43	71	85
YBR264C	II	737770	738369	-	600	46	43	91	91
YBR043C	II	321876	323945	-	2070	65	59	150	121
YBL059W	II;II	110594;110949	110879;111244	+;+	582	18	19	27	22
YBR131W	II	497163	499277	+	2115	16	3	25	21
YBR233W-A	II	684977	685261	+	285	15	6	27	18
YBR092C	II	427698	429101	-	1404	158	148	45	58
YBR126C	II	488905	490392	-	1488	1122	1002	1388	1473
YBR057C	II	352193	353293	-	1101	53	55	157	136
YBR086C	II	420201	423041	-	2841	311	282	464	518
YBR174C	II	582338	582652	-	315	0	0	0	0
snR56	II	88190	88277	+	88	0	1	0	0
YBR281C	II	764970	767606	-	2637	52	48	80	100
YBL103C	II	22076	23536	-	1461	59	47	76	100
tG(GCC)B	II	197629	197699	-	71	0	0	0	0
YBR159W	II	558685	559728	+	1044	143	150	290	309
YBR118W	II	477671	479047	+	1377	1878	1787	1938	2258
YBL004W	II	227636	235117	+	7482	74	75	131	158
YBR163W	II	565723	567480	+	1758	33	34	76	76
YBL013W	II	202056	203261	+	1206	5	8	9	7
YBL112C	II	2582	2899	-	318	0	0	0	0
YBR231C	II	682179	683090	-	912	50	31	108	106
YBL066C	II	96669	100115	-	3447	28	25	74	104
YBR008C	II	252563	254209	-	1647	29	27	62	64
YBL015W	II	194122	195702	+	1581	115	114	222	219
YBR038W	II	311898	314789	+	2892	55	59	64	72
YBL018C	II;II	185998;186428	186352;186474	-;-	402	24	29	36	39
YBR253W	II	723270	723635	+	366	38	35	84	73
YBL068W-A	II	91794	92030	+	237	0	0	0	0
YBR058C	II	353672	356017	-	2346	59	58	117	113
YBL084C	II	67169	69445	-	2277	25	30	81	104
YBR224W	II	670125	670640	+	516	0	0	1	0
YBR077C	II	391805	392293	-	489	48	35	121	130
YBL087C	II;II	59822;60698	60193;60739	-;-	414	748	689	770	856
YBR098W	II	441515	443590	+	2076	13	12	26	31
YBR239C	II	698354	699943	-	1590	28	21	33	35
YBR168W	II	572371	573612	+	1242	16	16	48	29
YBL046W	II	132424	133749	+	1326	80	78	147	165
YBR003W	II	242809	244230	+	1422	77	59	139	143
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	33	22	61	80
LSR1	II	680688	681862	-	1175	14	6	11	16
YBL025W	II	171481	171918	+	438	8	8	33	25
YBR105C	II	450881	451969	-	1089	64	65	153	143
YBR200W	II	620872	622527	+	1656	54	48	81	86
YBR190W	II	605966	606277	+	312	0	1	0	0
YBR248C	II	714807	716465	-	1659	167	160	164	187
YBR145W	II	533762	534817	+	1056	303	278	284	278
YBL047C	II	127895	132040	-	4146	430	422	595	712
YBR099C	II	442924	443307	-	384	0	0	0	0
YBL014C	II	199064	201748	-	2685	26	15	37	52
YBR062C	II;II	365976;366585	366502;366600	-;-	543	44	30	61	81
YBL092W	II	45978	46370	+	393	1786	1586	2371	2633
YBR240C	II	700490	701842	-	1353	4	10	13	25
YBR251W	II	721390	722313	+	924	54	41	54	78
YBR199W	II	618909	620303	+	1395	220	197	379	431
YBR128C	II	493081	494115	-	1035	7	3	24	28
YBR139W	II	515664	517190	+	1527	172	158	306	320
YBL070C	II	90605	90925	-	321	0	1	2	0
YBR054W	II	343101	344135	+	1035	68	66	13	36
YBL039W-B	II	143393	143572	+	180	4	6	14	32
YBR072W	II	382030	382674	+	645	19	10	29	34
YBR111C	II	461178	461873	-	696	149	143	281	316
YBL001C	II	237153	237467	-	315	88	83	195	210
YBR110W	II	458872	460221	+	1350	60	61	99	112
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	0	0	0	0
YBL036C	II	150447	151220	-	774	38	44	92	85
tR(UCU)B	II	405878	405949	+	72	0	0	0	0
YBL094C	II	43765	44097	-	333	0	0	0	0
YBR033W	II	301944	304703	+	2760	20	19	55	53
YBL073W	II	87646	87957	+	312	0	0	0	0
YBR096W	II	436021	436713	+	693	64	43	104	117
YBL053W	II	119335	119709	+	375	1	0	1	1
YBR030W	II	298292	299950	+	1659	32	33	31	48
YBL076C	II	81043	84261	-	3219	470	464	533	605
YBR256C	II	727386	728102	-	717	112	114	232	247
YBR162W-A	II	565231	565428	+	198	64	79	173	168
YBL077W	II	80897	81328	+	432	4	4	8	5
YBR156C	II	551104	553200	-	2097	17	12	30	40
YBL012C	II	203406	203807	-	402	1	1	1	3
YBL008W-A	II	209409	209648	+	240	1	0	0	0
YBR297W	II	800523	801929	+	1407	67	42	87	90
YBR189W	II;II	604508;604928	604514;605508	+;+	588	1334	1219	1607	1777
YBL096C	II	43174	43482	-	309	0	1	0	3
